TYPE,ID,EMPLOYEE,Supplier,Cuenta,Proyecto,Producto,Rubro,Descripcion,Currency,"Net amount","Tax amount","Gross amount",State,"Asked at",Mes,Semana,Notes,"Additional info","Link to the request"
BUDGET,A-0,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","PRODUCTOR QUINCENA",,,,7121.86,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-1,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","PRODUCTOR QUINCENA",,,,3560.93,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-2,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","PRODUCTOR QUINCENA",,,,0.03,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-3,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","PRODUCTOR QUINCENA",,,,3560.93,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-4,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","PRODUCTOR QUINCENA",,,,3560.93,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-5,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ANIMADOR QUINCENA",,,,4040.67,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-6,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ANIMADOR QUINCENA",,,,2020.33,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-7,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ANIMADOR QUINCENA",,,,0.03,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-8,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ANIMADOR QUINCENA",,,,2020.33,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-9,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ANIMADOR QUINCENA",,,,2020.33,0-BUDGET,23/03/2015,03/2015,13-15,,,
